symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
TATASTEEL,INE081A01020,2023-12-29,NSE,EQ,EQ,buy,false,1.000000,139.800003,64355642,1300000021591078,2023-12-29T12:10:50
OLECTRA,INE260D01016,2024-02-19,NSE,EQ,EQ,buy,false,9.000000,2103.000000,47746165,1200000043555203,2024-02-19T14:48:10
OLECTRA,INE260D01016,2024-02-19,NSE,EQ,EQ,sell,false,9.000000,2125.300049,48686252,1200000047297161,2024-02-19T15:18:02
GULFOILLUB,INE635Q01029,2024-02-20,NSE,EQ,EQ,buy,false,21.000000,940.000000,28668292,1100000044119909,2024-02-20T15:06:01
GULFOILLUB,INE635Q01029,2024-02-20,NSE,EQ,EQ,sell,false,21.000000,945.000000,29291614,1100000044428874,2024-02-20T15:20:24
JSWINFRA,INE880J01026,2024-02-22,NSE,EQ,EQ,buy,false,82.000000,241.399994,48072060,1200000045638698,2024-02-22T14:47:05
JSWINFRA,INE880J01026,2024-02-22,NSE,EQ,EQ,sell,false,37.000000,243.699997,49367927,1200000045720029,2024-02-22T15:22:52
JSWINFRA,INE880J01026,2024-02-22,NSE,EQ,EQ,sell,false,23.000000,243.699997,49368992,1200000045720029,2024-02-22T15:22:54
JSWINFRA,INE880J01026,2024-02-22,NSE,EQ,EQ,sell,false,22.000000,243.699997,49368868,1200000045720029,2024-02-22T15:22:54
CAMS,INE596I01012,2024-02-23,NSE,EQ,EQ,buy,false,12.000000,3134.850098,4268367,1000000025693624,2024-02-23T13:17:30
CAMS,INE596I01012,2024-02-23,NSE,EQ,EQ,buy,false,4.000000,3135.000000,4268368,1000000025693624,2024-02-23T13:17:30
GODREJPROP,INE484J01027,2024-02-23,NSE,EQ,EQ,buy,false,8.000000,2469.300049,28516276,1100000041552609,2024-02-23T15:06:23
CAMS,INE596I01012,2024-02-23,NSE,EQ,EQ,buy,false,6.000000,3105.000000,6253265,1000000036817880,2024-02-23T15:13:14
CAMS,INE596I01012,2024-02-27,BSE,EQ,A,sell,false,22.000000,3170.000000,7216500,1709003779264222124,2024-02-27T09:17:26
CAMS,INE596I01012,2024-02-28,NSE,EQ,EQ,buy,false,22.000000,3190.949951,247451,1000000001262877,2024-02-28T09:19:28
CAMS,INE596I01012,2024-02-28,NSE,EQ,EQ,sell,false,21.000000,3240.000000,1459887,1000000001432470,2024-02-28T10:07:36
CAMS,INE596I01012,2024-02-28,NSE,EQ,EQ,sell,false,1.000000,3240.000000,1460604,1000000001432470,2024-02-28T10:07:38
CAMS,INE596I01012,2024-02-28,NSE,EQ,EQ,buy,false,22.000000,3190.000000,1819887,1000000008366898,2024-02-28T10:30:21
GODREJPROP,INE484J01027,2024-02-28,NSE,EQ,EQ,sell,false,8.000000,2416.000000,25110119,1100000000193436,2024-02-28T12:17:19
JAMNAAUTO,INE039C01032,2024-02-28,NSE,EQ,EQ,buy,false,163.000000,122.500000,48844888,1200000049740425,2024-02-28T15:19:38
CAMS,INE596I01012,2024-02-28,NSE,EQ,EQ,buy,false,5.000000,3084.350098,6745666,1000000041839685,2024-02-28T15:20:21
CGPOWER,INE067A01029,2024-02-29,NSE,EQ,EQ,buy,false,13.000000,445.899994,7084543,1000000048099755,2024-02-29T15:24:23
CGPOWER,INE067A01029,2024-03-01,BSE,EQ,A,sell,false,13.000000,484.000000,302600,1709263800000003544,2024-03-01T09:07:06
JAMNAAUTO,INE039C01032,2024-03-01,BSE,EQ,A,sell,false,163.000000,125.000000,712900,1709263800002002233,2024-03-01T09:21:28
AGI,INE415A01038,2024-03-01,NSE,EQ,EQ,buy,false,16.000000,883.250000,27060827,1100000039225766,2024-03-01T14:50:27
CAMS,INE596I01012,2024-03-22,NSE,EQ,EQ,sell,false,27.000000,3000.000000,432675,1000000001540317,2024-03-22T09:24:57
